Part Code,Description,Category,Subcategory,Quantity Type,,
SL0346,75mm x 25mm Hollow Bar Bronze LG2,Bronze,Hollow Bar,Metre,,
SL0347,"2"" Solid Round Bar Bronze LG2",Bronze,Round Bar,Metre,,
SL0348,121mm x 58mm Hollow Bar Bronze LG2,Bronze,Hollow Bar,Metre,,
SL0349,90mm Solid Round Bar 6060 Aluminium,Aluminium,Round Bar,Length,,
SL0350,90mm Solid Round Bar Teflon White,Teflon,Round Bar,Length,,
SL0351,"4.5"" x 6m Solid round bar 316 S/S",Stainless Steel,Round Bar,Length,,
SL0352,100mm Solid Round Bar 6060 Aluminium,Aluminium,Round Bar,Length,,
SL0353,127mm x 63mm Hollow Bar Bronze LG2,Bronze,Hollow Bar,Metre,,
SL0354,114mm x 38.1mm Hollow Bar Bronze LG2,Bronze,Hollow Bar,Metre,,
SL0355,4mm 1.5 x 3m Plate 5005 Aluminium,Aluminium,Plate,Each,,
SL0356,12mm x 6m Solid Round Bar 316 S/S,Stainless Steel,Round Bar,Length,,
SL0357,50.80mm Solid Hex Bar 316 S/S,Stainless Steel,Hex Bar,Length,,
SL0358,60mm Solid Round Bar 6060 Aluminium,Aluminium,Round Bar,Length,,
SL0359,50mm Solid Round Bar 6060 aluminium,Aluminium,Round Bar,Length,,
SL0361,25 x25 x3mm x 6m  Radius Corner Box Section 6060 Aluminium,Aluminium,Box Section,Length,,
SL0362,5mm x 1.5 x 3m Plate 5005 Aluminium,Aluminium,Plate,Each,,
SL0363,6mm x 1.5 x 3 Plate 5005 Aluminium,Aluminium,Plate,Each,,
SL0364,1.5mm x 1.5 x 3m Mirror Sheet 316 S/S,Stainless Steel,Plate,Each,,
SL0365,3mm x 1.5 x 3m Mirror Sheet 316 S/S,Stainless Steel,Plate,Each,,
SL0366,4mm x 1.5 x 3m Mirror Sheet 316 S/S,Stainless Steel,Plate,Each,,
SL0367,5mm x 1.5 x 3m Mirror Plate 316 S/S,Stainless Steel,Plate,Each,,
SL0368,12mm x 1.5 x 3m Mirror Plate 316 S/S,Stainless Steel,Plate,Each,,
SL0390,55mm Solid Round Bar 6060 Aluminium,Aluminium,Round Bar,Length,,
SL0600,"1 1/8"" Solid Bar Bronze LG2",Bronze,Round Bar,Metre,,
SL0603,6mm x 1.2 x 2.4m Plate 5083 Aluminium,Aluminium,Plate,Each,,
SL0641,"3/8"" x 1.6 x 6m Seamless tube 316 S/S",Stainless Steel,Tube,Length,,
SL0673,"1"" x 6m SCH 80 Seamless Pipe 316 S/S",Stainless Steel,Pipe,Length,,
SL0697,50 x 25 x 3mm x 6m Box Section 316 S/S,Stainless Steel,Box Section,Length,,
SL0698,75 x 50 x 2mm x 6m Box 316 S/S,Stainless Steel,Box Section,Length,,
SL0705,8mm Solid Round Bar Duplex 2205,2205 Duplex,Round Bar,Metre,,
SL0707,3mm x 1.5 x 3m Plate 5005 Aluminium,Aluminium,Plate,Each,,
SL0716,2mm x 1.2 x 3m Plate 5005 Aluminium,Aluminium,Plate,Each,,
SL0717,10mm x 2.4 x 1.2 Mill Plate 316 S/S,Stainless Steel,Plate,Each,,
SRL0025,40mm Solid Round Bar Acetal Black (3mtr lengths),Acetal,Round Bar,Length,,
SRL0026,100mm Solid Round Bar Acetal Black,Acetal,Round Bar,Length,,
SRL0027,30mm Solid Round Bar Acetal Black,Acetal,Round Bar,Length,,
SRL0028,50mm Solid Round Bar Acetal Black (3mtr lengths),Acetal,Round Bar,Length,,
SRL0029,50mm x 100mm x 900mm Black Acetal Sheet,Acetal,Sheet,Each,,
SRL0032,20mm Solid Bar Duplex 2205,2205 Duplex,Round Bar,Metre,,
SRL0034,150mm Solid Round Bar Acetal Black (3mtr lenght),Acetal,Round Bar,Length,,
SRL0041,75mm Solid Round Bar Black Acetal,Acetal,Round Bar,Length,,
SRL0047,50.8mm Solid Round Bar Duplex 2205,2205 Duplex,Round Bar,Metre,,
SRL0048,80mm x 63mm  Hollow Bar 316 S/S,Stainless Steel,Hollow Bar,Length,,
SRL0049,50mm x 25mm Hollow Bar 316 S/S,Stainless Steel,Hollow Bar,Length,,
SRL0050,75mm x 40mm Hollow Bar 316 S/S,Stainless Steel,Hollow Bar,Length,,
ST0066,Tube 316SS 3/8 x 0.9mm x 100mm,Stainless Steel,Tube,Length,,
ST0088,25mm Brass round Bar,Brass,Round Bar,Length,,
ST0258,1/8inch S/S tube,Stainless Steel,Tube,Length,,
ST0317,50 x 25 x 1.6mm x 6m Box Section Steel,Mild Steel,Box Section,Length,,
ST0318,75 x 50 x 2mm  x 6m Box Section Steel,Mild Steel,Box Section,Length,,
ST0319,3mm x 1.2 x 2.4m Sheet Steel,Stainless Steel,Plate,Each,,
ST0353,40 x 40 x 3mm x 6m Box 6060 Aluminium,Aluminium,Box Section,Length,,
STC0031,60 x 40 x 3mm x 6m Box Section 316 S/S,Stainless Steel,Box Section,Length,,
STC0032,50 x 50 x 5mm x 6m Box Section 316 S/S,Stainless Steel,Box Section,Length,,
STC0056,"3/8"" x 1.6mm Tube 316 S/S 600 Grit Pol",Stainless Steel,Tube,Length,,
STL0029,76 x 55 x 5mm x 6m Angle 6060 Aluminium,Aluminium,Angle,Length,,
STL0030,100 x 50 x 7.5mm x 6m C Channel 6005A  Aluminium,Aluminium,Channel,Length,,
STL0031,80 x 40 x 3mm x 6m radius edged RHS 6060 Aluminium,Aluminium,Box Section,Length,,
STL0032,100 x 50 x 5mm x 6m Angle 6060 Aluminum,Aluminium,Angle,Length,,
STL0033,80 x 40 x 3mm x 6m Box Section 316 S/S,Stainless Steel,Box Section,Length,,
STL0034,75 x75 x 6mm x 6m Angle 316 S/S,Stainless Steel,Angle,Length,,
STL0035,40 x 40 x 3mm x 6m Channel 6060 Aluminium,Aluminium,Channel,Length,,
STL0036,3mm x 1.5 x 3m Plate 5083 Aluminium,Aluminium,Plate,Each,,
STL0038,90mm Solid Rtound Bar Acetal Natural (white),Acetal,Round Bar,Length,,
STL0039,30mm Solid Rtound Bar Acetal Natural (white),Acetal,Round Bar,Length,,
STL0040,40mm Solid Rtound Bar Acetal Natural (white),Acetal,Round Bar,Length,,
STSS15,1.5mm x 1.2 x 2.4m 2B Sheet 316 S/S,Stainless Steel,Plate,Each,,
SWD0006,39mm Solid Round Bar 6060 Aluminium,Aluminium,Round Bar,Length,,
SWD0007,25mm Solid Round Bar 6060 Aluminium,Aluminium,Round Bar,Length,,
SWD0008,"1 1/4"" x 1.6mm x 6m Mirror Tube 316 S/S",Stainless Steel,Tube,Length,,
SWD0013,65 x 65 x 6mm x 6m Angle 6060 Aluminium,Aluminium,Angle,Length,,
SWD0015,46 x 28 x 1.6mm x 6m  Mirror Oval Tube 316 S/S,Stainless Steel,Tube,Length,,
SWD0022,10mm x 1.2 x 2.4m Plate 5083 Aluminium,Aluminium,Plate,Each,,
SWD0025,160 x 10mm x 4m Flat Bar 6060 Aluminium,Aluminium,Flat Bar,Length,,
SWD0034,25mm white solid Acyetal,Acetal,Round Bar,Length,,
SWD0039,30mm x 6m Solid Round Bar 316 S/S,Stainless Steel,Round Bar,Length,,
SC9001,T3 Phenolic Cotton Sheet 1220 x 2440 x 6.4mm,Thrust Washer,Sheet,Each,,
SL0322,"3 1/2"" x 6m Solid Round Bar 316 S/S",Stainless Steel,Round Bar,Length,,
